"Kalenderwoche";"2026";"2025";"2024";"2023";"2022"
1;21549;21385;21851;25464;20870
2;22394;22062;21438;22713;19921
3;21923;21657;21815;21253;19845
4;;23144;22131;20657;20224
5;;22553;21934;21083;20698
6;;22486;22250;20547;20495
7;;22796;21212;20996;21165
8;;23429;20225;20901;20375
9;;22756;19918;21053;20811
10;;22087;19333;21935;21251
11;;21672;19412;21828;21357
12;;21270;18753;21332;21236
13;;20474;18842;20730;20883
14;;19898;19083;19974;20953
15;;19707;18416;20157;20253
16;;19367;18161;19861;19579
17;;18034;18685;19310;19361
18;;18803;18976;19055;19225
19;;17688;18158;18896;19265
20;;17988;18742;18385;18565
21;;17553;17612;18416;17232
22;;18318;17543;18032;18104
23;;17721;17471;18389;17960
24;;17424;17827;17857;18497
25;;17410;18231;18097;19059
26;;17756;19174;17059;18562
27;;18085;17193;17168;18155
28;;16992;18124;17758;19019
29;;17561;18097;16779;20987
30;;17119;17174;16976;20297
31;;16607;17759;16885;19972
32;;17376;17456;17479;19832
33;;18349;18429;18498;19932
34;;16894;17274;18159;18992
35;;17396;17971;16772;18294
36;;17096;18526;18151;18777
37;;16851;17488;17928;18276
38;;17842;18792;17392;19121
39;;17398;18821;17670;20402
40;;18085;18831;18216;20627
41;;18705;19790;18803;21790
42;;18327;20063;19492;21819
43;;19473;19619;20291;21449
44;;19097;19286;20392;19933
45;;19019;19487;20621;20188
46;;19029;20260;20837;20825
47;;18884;20645;21099;21451
48;;19876;20734;22058;22273
49;;19793;20821;23006;24125
50;;19655;20502;22700;25977
51;;19589;21190;23168;28682
52;;19385;20223;22130;27291
53;;;;;